Threshold = 13075.97763, ThresholdWin = 0.12627
 Threshold = 32986.56068, ThresholdWin = 0.14798
 Threshold = 12455.39116, ThresholdWin = 0.13525
 Threshold = 30804.83259, ThresholdWin = 0.12764
 Threshold = 15603.20939, ThresholdWin = 0.39824
 Threshold = 12837.69275, ThresholdWin = 0.41242
 Threshold = 36954.73457, ThresholdWin = 0.41588
 Threshold = 58665.67307, ThresholdWin = 0.43007
 Threshold = 31185.62886, ThresholdWin = 0.49978
 Threshold = 79092.05069, ThresholdWin = 0.41588
 Threshold = 28721.97197, ThresholdWin = 0.49497
 Threshold = 52690.59450, ThresholdWin = 0.38310
 Threshold = 32609.11955, ThresholdWin = 0.35696
 Threshold = 24825.20218, ThresholdWin = 0.40477
 Threshold = 95556.48399, ThresholdWin = 0.94221
 Threshold = 24842.92970, ThresholdWin = 0.34311
 Threshold = 27153.75954, ThresholdWin = 0.35171
 Threshold = 12718.64735, ThresholdWin = 0.37161
 Threshold = 11018.44561, ThresholdWin = 0.35143
 Threshold = 16260.19393, ThresholdWin = 0.42886
 Threshold = 17667.37965, ThresholdWin = 0.41623
 Threshold = 53643.42870, ThresholdWin = 0.71489
 Threshold = 21746.96998, ThresholdWin = 0.46419
 Threshold = 21220.38536, ThresholdWin = 0.62782
 Threshold = 21062.36870, ThresholdWin = 0.68015
 Threshold = 22586.74989, ThresholdWin = 0.37227
 Threshold = 24310.18513, ThresholdWin = 0.53833
 Threshold = 13867.17206, ThresholdWin = 0.39838
 Threshold = 52052.13609, ThresholdWin = 1.10827
 Threshold = 25691.19148, ThresholdWin = 0.78489
 Threshold = 30333.42400, ThresholdWin = 0.79124
 Threshold = 28363.98708, ThresholdWin = 0.94374
 Threshold = 24176.05783, ThresholdWin = 0.70605
 Threshold = 55609.55026, ThresholdWin = 0.78167
 Threshold = 20261.61502, ThresholdWin = 0.47571
 Threshold = 21001.84178, ThresholdWin = 0.38579
 Threshold = 21770.66237, ThresholdWin = 0.73408
 Threshold = 22451.11924, ThresholdWin = 0.50592
 Threshold = 44323.62146, ThresholdWin = 0.46323
 Threshold = 14430.33871, ThresholdWin = 0.31057
 Threshold = 14159.10969, ThresholdWin = 0.31699
 Threshold = 22609.15328, ThresholdWin = 0.30891
 Threshold = 25021.62748, ThresholdWin = 0.76672
 Threshold = 44623.12058, ThresholdWin = 0.62133
 Threshold = 28373.02896, ThresholdWin = 0.75894
 Threshold = 16743.78643, ThresholdWin = 0.41808
 Threshold = 19518.32573, ThresholdWin = 0.39280
 Threshold = 44907.43047, ThresholdWin = 1.00873
 Threshold = 31153.33509, ThresholdWin = 0.37201
 Threshold = 20339.23729, ThresholdWin = 0.35022
 Threshold = 21609.20469, ThresholdWin = 0.60578
 Threshold = 161807.66608, ThresholdWin = 1.34947
 Threshold = 13164.61313, ThresholdWin = 0.28424
 Threshold = 87927.06151, ThresholdWin = 1.97790
 Threshold = 20123.60387, ThresholdWin = 0.30823
 Threshold = 14849.62566, ThresholdWin = 0.29887
 Threshold = 17173.40932, ThresholdWin = 0.38207
 Threshold = 19397.73767, ThresholdWin = 0.46581
 Threshold = 22573.87661, ThresholdWin = 0.30491
 Threshold = 17834.10923, ThresholdWin = 0.43099
